x,y
39,2
49,7
70,7
110,7
164,7
131,9
173,16
267,18
222,21
103,30
166,30
203,37
100,39
25,42
175,42
185,42
157,51
91,53
182,56
152,60
255,60
264,60
274,60
58,63
67,63
82,63
91,63
49,65
173,65
182,65
192,67
21,70
152,70
255,70
264,70
274,70
182,75
192,77
21,79
93,79
161,79
173,79
246,79
255,79
84,84
93,89
161,89
264,89
70,93
255,98
180,105
208,105
77,107
171,107
67,117
196,124
236,126
114,135
124,135
133,135
152,135
227,135
246,135
124,145
142,145
152,145
161,145
25,154
114,154
142,154
189,154
208,154
276,157
30,164
114,164
133,164
142,164
180,164
189,164
208,164
37,173
60,173
133,173
142,173
180,173
189,173
227,173
37,182
124,182
133,182
161,182
171,182
180,182
236,182
114,192
124,192
133,192
227,192
236,192
246,192
114,201
124,201
227,201
236,201
65,208
133,210
142,210
152,210
161,210
208,210
217,210
255,210
133,220
142,220
152,220
208,220
217,220
227,220
236,220
246,220
124,229
133,229
142,229
152,229
161,229
227,229
100,232
124,239
133,239
142,239
152,239
161,239
171,239
189,239
199,239
208,239
133,248
142,248
152,248
161,248
171,248
180,248
189,248
199,248
208,248
217,248
227,248
236,248
246,248
91,250
161,257
171,257
180,257
189,257
199,257
236,257
171,267
189,267
199,267
133,276
142,276
180,276
199,276
208,276
